id,name,generation,types,height_dm,weight_hg,base_experience,hp,attack,defense,special_attack,special_defense,speed,total_stats,abilities,hidden_ability,species_color,species_shape,habitat,growth_rate,capture_rate,base_happiness,hatch_counter,is_baby,is_legendary,is_mythical,has_gender_differences,gender_rate,forms_switchable,evolution_chain_id,evolves_from,flavor_text_en,sprite_url
167,spinarak,2,"bug,poison",5,85,50,40,60,40,40,40,30,250,"swarm,insomnia",sniper,green,armor,forest,fast,255,70,15,False,False,False,False,4,False,85,,"It lies still in the same pose for days in its web, waiting for its unsuspecting prey to wander close.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/167.png
168,ariados,2,"bug,poison",11,335,140,70,90,70,60,70,40,400,"swarm,insomnia",sniper,red,armor,forest,fast,90,70,15,False,False,False,False,4,False,85,spinarak,It spins string not only from its rear but also from its mouth. It is hard to tell which end is which.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/168.png
169,crobat,2,"poison,flying",18,750,241,85,90,80,70,80,130,535,inner-focus,infiltrator,purple,bug-wings,cave,medium,90,70,15,False,False,False,False,4,False,17,golbat,It flies so si­ lently through the dark on its four wings that it may not be noticed even when nearby.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/169.png
170,chinchou,2,"water,electric",5,120,66,75,38,38,56,56,67,330,"volt-absorb,illuminate",water-absorb,blue,fish,sea,slow,190,70,20,False,False,False,False,4,False,86,,Chinchou blink their shining antennae at one another to claim their respective turf.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/170.png
171,lanturn,2,"water,electric",12,225,161,125,58,58,76,76,67,460,"volt-absorb,illuminate",water-absorb,blue,fish,sea,slow,75,70,20,False,False,False,False,4,False,86,chinchou,The light it emits is so bright that it can illuminate the sea's surface from a depth of over three miles.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/171.png
172,pichu,2,electric,3,20,41,20,40,15,35,35,60,205,static,lightning-rod,yellow,quadruped,forest,medium,190,70,10,True,False,False,False,4,False,10,,It is not yet skilled at storing electricity. It may send out a jolt if amused or startled.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/172.png
173,cleffa,2,fairy,3,30,44,50,25,28,45,55,15,218,"cute-charm,magic-guard",friend-guard,pink,upright,mountain,fast,150,140,10,True,False,False,False,6,False,14,,"Because of its unusual, star-like silhouette, people believe that it came here on a meteor.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/173.png
174,igglybuff,2,"normal,fairy",3,10,42,90,30,15,40,20,15,210,"cute-charm,competitive",friend-guard,pink,humanoid,grassland,fast,170,70,10,True,False,False,False,6,False,16,,"It has a very soft body. If it starts to roll, it will bounce all over and be impossible to stop.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/174.png
175,togepi,2,fairy,3,15,49,35,20,65,40,65,20,245,"hustle,serene-grace",super-luck,white,humanoid,forest,fast,190,70,10,True,False,False,False,1,False,87,,The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/175.png
176,togetic,2,"fairy,flying",6,32,142,55,40,85,80,105,40,405,"hustle,serene-grace",super-luck,white,humanoid,forest,fast,75,70,10,False,False,False,False,1,False,87,togepi,"They say that it will appear before kindhearted, car­ ing people and shower them with happiness.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/176.png
177,natu,2,"psychic,flying",2,20,64,40,50,45,70,45,70,320,"synchronize,early-bird",magic-bounce,green,wings,forest,medium,190,70,20,False,False,False,False,4,False,88,,"Because its wings aren't yet fully grown, it has to hop to get around. It is always star­ ing at something.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/177.png
178,xatu,2,"psychic,flying",15,150,165,65,75,70,95,70,95,470,"synchronize,early-bird",magic-bounce,green,wings,forest,medium,75,70,20,False,False,False,True,4,False,88,natu,They say that it stays still and quiet because it is seeing both the past and future at the same time.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/178.png
179,mareep,2,electric,6,78,56,55,40,40,65,45,35,280,static,plus,white,quadruped,grassland,medium-slow,235,70,20,False,False,False,False,4,False,89,,"If static elec­ tricity builds in its body, its fleece doubles in volume. Touching it will shock you.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/179.png
180,flaaffy,2,electric,8,133,128,70,55,55,80,60,45,365,static,plus,pink,upright,grassland,medium-slow,120,70,20,False,False,False,False,4,False,89,mareep,"As a result of storing too much electricity, it developed patches where even downy wool won't grow.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/180.png
181,ampharos,2,electric,14,615,230,90,75,85,115,90,55,510,static,plus,yellow,upright,grassland,medium-slow,45,70,20,False,False,False,False,4,True,89,flaaffy,The tail's tip shines brightly and can be seen from far away. It acts as a beacon for lost people.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/181.png
182,bellossom,2,grass,4,58,221,75,80,95,90,100,50,490,chlorophyll,healer,green,humanoid,grassland,medium-slow,45,70,20,False,False,False,False,4,False,18,gloom,"Plentiful in the tropics. When it dances, its petals rub together and make a pleasant ringing sound.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/182.png
183,marill,2,"water,fairy",4,85,88,70,20,50,20,50,40,250,"thick-fat,huge-power",sap-sipper,blue,upright,waters-edge,fast,190,70,10,False,False,False,False,4,False,90,azurill,"The tip of its tail, which con­ tains oil that is lighter than wa­ ter, lets it swim without drowning.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/183.png
184,azumarill,2,"water,fairy",8,285,189,100,50,80,60,80,50,420,"thick-fat,huge-power",sap-sipper,blue,upright,waters-edge,fast,75,70,10,False,False,False,False,4,False,90,marill,It lives in water virtually all day long. Its body color and pattern act as camouflage that makes it tough for enemies to spot in water.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/184.png
185,sudowoodo,2,rock,12,380,144,70,100,115,30,65,30,410,"sturdy,rock-head",rattled,brown,humanoid,forest,medium,65,70,20,False,False,False,True,4,False,91,bonsly,"Although it always pretends to be a tree, its composi­ tion appears to be closer to a rock than a plant.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/185.png
186,politoed,2,water,11,339,225,90,75,75,90,100,70,500,"water-absorb,damp",drizzle,green,humanoid,waters-edge,medium-slow,45,70,20,False,False,False,True,4,False,26,poliwhirl,"If POLIWAG and POLIWHIRL hear its echoing cry, they respond by gather­ ing from far and wide.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/186.png
187,hoppip,2,"grass,flying",4,5,50,35,35,40,35,55,50,250,"chlorophyll,leaf-guard",infiltrator,pink,upright,grassland,medium-slow,255,70,20,False,False,False,False,4,False,92,,"To keep from being blown away by the wind, they gather in clusters. They do enjoy gentle breezes, though.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/187.png
188,skiploom,2,"grass,flying",6,10,119,55,45,50,45,65,80,340,"chlorophyll,leaf-guard",infiltrator,green,upright,grassland,medium-slow,120,70,20,False,False,False,False,4,False,92,hoppip,The bloom on top of its head opens and closes as the temperature fluc­ tuates up and down.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/188.png
189,jumpluff,2,"grass,flying",8,30,207,75,55,70,55,95,110,460,"chlorophyll,leaf-guard",infiltrator,blue,upright,grassland,medium-slow,45,70,20,False,False,False,False,4,False,92,skiploom,"Once it catches the wind, it deft­ ly controls its cotton-puff spores to float, even around the world.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/189.png
190,aipom,2,normal,8,115,72,55,70,55,40,55,85,360,"run-away,pickup",skill-link,purple,upright,forest,fast,45,70,20,False,False,False,True,4,False,93,,Its tail is so powerful that it can use it to grab a tree branch and hold itself up in the air.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/190.png
191,sunkern,2,grass,3,18,36,30,30,30,30,30,30,180,"chlorophyll,solar-power",early-bird,yellow,ball,grassland,medium-slow,235,70,20,False,False,False,False,4,False,94,,"It may drop out of the sky suddenly. If attacked by a SPEAROW, it will violently shake its leaves.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/191.png
192,sunflora,2,grass,8,85,149,75,75,55,105,85,30,425,"chlorophyll,solar-power",early-bird,yellow,humanoid,grassland,medium-slow,120,70,20,False,False,False,False,4,False,94,sunkern,"It converts sun­ light into energy. In the darkness after sunset, it closes its petals and becomes still.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/192.png
193,yanma,2,"bug,flying",12,380,78,65,65,45,75,45,95,390,"speed-boost,compound-eyes",frisk,red,bug-wings,forest,medium,75,70,20,False,False,False,False,4,False,95,,"If it flaps its wings really fast, it can generate shock waves that will shatter win­ dows in the area.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/193.png
194,wooper,2,"water,ground",4,85,42,55,45,45,25,25,15,210,"damp,water-absorb",unaware,blue,legs,waters-edge,medium,255,70,20,False,False,False,True,4,False,96,,This POKéMON lives in cold water. It will leave the water to search for food when it gets cold outside.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/194.png
195,quagsire,2,"water,ground",14,750,151,95,85,85,65,65,35,430,"damp,water-absorb",unaware,blue,upright,waters-edge,medium,90,70,20,False,False,False,True,4,False,96,wooper,"This carefree POKéMON has an easy-going nature. While swimming, it always bumps into boat hulls.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/195.png
196,espeon,2,psychic,9,265,184,65,65,60,130,95,110,525,synchronize,magic-bounce,purple,quadruped,urban,medium,45,70,35,False,False,False,False,1,False,67,eevee,It uses the fine hair that covers its body to sense air currents and predict its ene­ my's actions.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/196.png
197,umbreon,2,dark,10,270,184,95,65,110,60,130,65,525,synchronize,inner-focus,black,quadruped,urban,medium,45,35,35,False,False,False,False,1,False,67,eevee,"When agitated, this POKéMON pro­ tects itself by spraying poisonous sweat from its pores.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/197.png
198,murkrow,2,"dark,flying",5,21,81,60,85,42,85,42,91,405,"insomnia,super-luck",prankster,black,wings,forest,medium-slow,30,35,20,False,False,False,True,4,False,97,,"Feared and loathed by many, it is believed to bring misfortune to all those who see it at night.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/198.png
199,slowking,2,"water,psychic",20,795,172,95,75,80,100,110,30,490,"oblivious,own-tempo",regenerator,pink,upright,waters-edge,medium,70,70,20,False,False,False,False,4,False,33,slowpoke,"It has incredible intellect and in­ tuition. Whatever the situation, it remains calm and collected.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/199.png
200,misdreavus,2,ghost,7,10,87,60,60,60,85,85,85,435,levitate,,gray,ball,cave,fast,45,35,25,False,False,False,False,4,False,98,,It likes playing mischievous tricks such as screaming and wailing to startle people at night.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/200.png
201,unown,2,psychic,5,50,118,48,72,48,72,48,48,336,levitate,,black,ball,rare,medium,225,70,40,False,False,False,False,-1,False,99,,Their shapes look like hieroglyphs on ancient tab­ lets. It is said that the two are somehow related.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/201.png
202,wobbuffet,2,psychic,13,285,142,190,33,58,33,58,33,405,shadow-tag,telepathy,blue,blob,cave,medium,45,70,20,False,False,False,True,4,False,100,wynaut,"It hates light and shock. If attack­ ed, it inflates its body to pump up its counter­ strike.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/202.png
203,girafarig,2,"normal,psychic",15,415,159,70,80,65,90,65,85,455,"inner-focus,early-bird",sap-sipper,yellow,quadruped,grassland,medium,60,70,20,False,False,False,True,4,False,101,,"Its tail has a small brain of its own. Beware! If you get close, it may react to your scent and bite.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/203.png
204,pineco,2,bug,6,72,58,50,65,90,35,35,15,290,sturdy,overcoat,gray,ball,forest,medium,190,70,20,False,False,False,False,4,False,102,,It likes to make its shell thicker by adding layers of tree bark. The additional weight doesn't bother it.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/204.png
205,forretress,2,"bug,steel",12,1258,163,75,90,140,60,60,40,465,sturdy,overcoat,purple,ball,forest,medium,75,70,20,False,False,False,False,4,False,102,pineco,Its entire body is shielded by a steel-hard shell. What lurks inside the armor is a total mystery.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/205.png
206,dunsparce,2,normal,15,140,145,100,70,70,65,65,45,415,"serene-grace,run-away",rattled,yellow,squiggle,cave,medium,190,70,20,False,False,False,False,4,False,103,,"When spotted, this POKéMON escapes backward by furi­ ously boring into the ground with its tail.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/206.png
207,gligar,2,"ground,flying",11,648,86,65,75,105,35,65,85,430,"hyper-cutter,sand-veil",immunity,purple,wings,mountain,medium-slow,60,70,20,False,False,False,True,4,False,104,,It flies straight at its target's face then clamps down on the star­ tled victim to inject poison.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/207.png
208,steelix,2,"steel,ground",92,4000,179,75,85,200,55,65,30,510,"rock-head,sturdy",sheer-force,gray,squiggle,cave,medium,25,70,25,False,False,False,True,4,True,41,onix,It is thought its body transformed as a result of iron accumulating internally from swallowing soil.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/208.png
209,snubbull,2,fairy,6,78,60,60,80,50,40,40,30,300,"intimidate,run-away",rattled,pink,humanoid,urban,fast,190,70,20,False,False,False,False,6,False,105,,"Although it looks frightening, it is actually kind and affectionate. It is very popular among women.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/209.png
210,granbull,2,fairy,14,487,158,90,120,75,60,60,45,450,"intimidate,quick-feet",rattled,purple,upright,urban,fast,75,70,20,False,False,False,False,6,False,105,snubbull,"It is actually timid and easily spooked. If at­ tacked, it flails about to fend off its attacker.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/210.png
211,qwilfish,2,"water,poison",5,39,88,65,95,85,55,55,85,440,"poison-point,swift-swim",intimidate,gray,fish,sea,medium,45,70,20,False,False,False,False,4,False,106,,"To fire its poison spikes, it must inflate its body by drinking over 2.6 gallons of water all at once.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/211.png
212,scizor,2,"bug,steel",18,1180,175,70,130,100,55,80,65,500,"swarm,technician",light-metal,red,bug-wings,grassland,medium,25,70,25,False,False,False,True,4,True,58,scyther,It has a steel-hard body. It intimidates foes by upraising its eye-patterned pincers.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/212.png
213,shuckle,2,"bug,rock",6,205,177,20,10,230,10,230,5,505,"sturdy,gluttony",contrary,yellow,armor,mountain,medium-slow,190,70,20,False,False,False,False,4,False,107,,The BERRIES it stores in its vase-like shell decompose and become a gooey liquid.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/213.png
214,heracross,2,"bug,fighting",15,540,175,80,125,75,40,95,85,500,"swarm,guts",moxie,blue,humanoid,forest,slow,45,70,25,False,False,False,True,4,True,108,,"It is usually docile, but if it is disturbed while sipping honey, it chases off the intruder with its horn.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/214.png
215,sneasel,2,"dark,ice",9,280,86,55,95,55,35,75,115,430,"inner-focus,keen-eye",pickpocket,black,upright,forest,medium-slow,60,35,20,False,False,False,True,4,False,109,,"Its paws conceal sharp claws. If attacked, it sud­ denly extends the claws and startles its enemy.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/215.png
216,teddiursa,2,normal,6,88,66,60,80,50,50,50,40,330,"pickup,quick-feet",honey-gather,brown,upright,mountain,medium,120,70,20,False,False,False,False,4,False,110,,"If it finds honey, its crescent mark glows. It always licks its paws because they are soaked with honey.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/216.png
217,ursaring,2,normal,18,1258,175,90,130,75,75,75,55,500,"guts,quick-feet",unnerve,brown,upright,mountain,medium,60,70,20,False,False,False,True,4,False,110,teddiursa,"Although it is a good climber, it prefers to snap trees with its forelegs and eat fallen BERRIES.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/217.png
218,slugma,2,fire,7,350,50,40,40,40,70,40,20,250,"magma-armor,flame-body",weak-armor,red,squiggle,mountain,medium,190,70,20,False,False,False,False,4,False,111,,"It never sleeps. It has to keep moving because if it stopped, its magma body would cool and harden.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/218.png
219,magcargo,2,"fire,rock",8,550,151,60,50,120,90,80,30,430,"magma-armor,flame-body",weak-armor,red,squiggle,mountain,medium,75,70,20,False,False,False,False,4,False,111,slugma,The shell on its back is just skin that has cooled and hardened. It breaks easily with a slight touch.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/219.png
220,swinub,2,"ice,ground",4,65,50,50,50,40,30,30,50,250,"oblivious,snow-cloak",thick-fat,brown,quadruped,cave,slow,225,70,20,False,False,False,False,4,False,112,,It rubs its snout on the ground to find and dig up food. It sometimes discovers hot springs.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/220.png
221,piloswine,2,"ice,ground",11,558,158,100,100,80,60,60,50,450,"oblivious,snow-cloak",thick-fat,brown,quadruped,cave,slow,75,70,20,False,False,False,True,4,False,112,swinub,"Because the long hair all over its body obscures its sight, it just keeps charging repeatedly.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/221.png
222,corsola,2,"water,rock",6,50,144,65,55,95,65,95,35,410,"hustle,natural-cure",regenerator,pink,armor,sea,fast,60,70,20,False,False,False,False,6,False,113,,It continuously sheds and grows. The tip of its head is prized as a treasure for its beauty.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/222.png
223,remoraid,2,water,6,120,60,35,65,35,65,35,65,300,"hustle,sniper",moody,gray,fish,sea,medium,190,70,20,False,False,False,False,4,False,114,,It has superb ac­ curacy. The water it shoots out can strike even moving prey from more than 300 feet.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/223.png
224,octillery,2,water,9,285,168,75,105,75,105,75,45,480,"suction-cups,sniper",moody,red,tentacles,sea,medium,75,70,20,False,False,False,True,4,False,114,remoraid,It traps enemies with its suction- cupped tentacles then smashes them with its rock-hard head.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/224.png
225,delibird,2,"ice,flying",9,160,116,45,55,45,65,45,75,330,"vital-spirit,hustle",insomnia,red,wings,mountain,fast,45,70,20,False,False,False,False,4,False,115,,It carries food all day long. There are tales about lost people who were saved by the food it had.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/225.png
226,mantine,2,"water,flying",21,2200,170,85,40,70,80,140,70,485,"swift-swim,water-absorb",water-veil,purple,wings,sea,slow,25,70,25,False,False,False,False,4,False,116,mantyke,"As it majestically swims, it doesn't care if REMORAID attach to it for scavenging its leftovers.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/226.png
227,skarmory,2,"steel,flying",17,505,163,65,80,140,40,70,70,465,"keen-eye,sturdy",weak-armor,gray,wings,rough-terrain,slow,25,70,25,False,False,False,False,4,False,117,,"Its sturdy wings look heavy, but they are actually hollow and light, allowing it to fly freely in the sky.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/227.png
228,houndour,2,"dark,fire",6,108,66,45,60,30,80,50,65,330,"early-bird,flash-fire",unnerve,black,quadruped,rough-terrain,slow,120,35,20,False,False,False,False,4,False,118,,It uses different kinds of cries for communicating with others of its kind and for pursuing its prey.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/228.png
229,houndoom,2,"dark,fire",14,350,175,75,90,50,110,80,95,500,"early-bird,flash-fire",unnerve,black,quadruped,rough-terrain,slow,45,35,20,False,False,False,True,4,True,118,houndour,"If you are burned by the flames it shoots from its mouth, the pain will never go away.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/229.png
230,kingdra,2,"water,dragon",18,1520,243,75,95,95,95,95,85,540,"swift-swim,sniper",damp,blue,blob,sea,medium,45,70,20,False,False,False,False,4,False,54,seadra,It is said that it usually hides in underwater caves. It can create whirlpools by yawning.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/230.png
231,phanpy,2,ground,5,335,66,90,60,60,40,40,40,330,pickup,sand-veil,blue,quadruped,rough-terrain,medium,120,70,20,False,False,False,False,4,False,119,,"It swings its long snout around play­ fully, but because it is so strong, that can be dan­ gerous.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/231.png
232,donphan,2,ground,11,1200,175,90,120,120,60,60,50,500,sturdy,sand-veil,gray,quadruped,rough-terrain,medium,60,70,20,False,False,False,True,4,False,119,phanpy,"It has sharp, hard tusks and a rugged hide. Its TACKLE is strong enough to knock down a house.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/232.png
233,porygon2,2,normal,6,325,180,85,80,90,105,95,60,515,"trace,download",analytic,red,legs,urban,medium,45,70,20,False,False,False,False,-1,False,68,porygon,"This upgraded version of PORYGON is designed for space exploration. It can't fly, though.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/233.png
234,stantler,2,normal,14,712,163,73,95,62,85,65,85,465,"intimidate,frisk",sap-sipper,brown,quadruped,forest,slow,45,70,20,False,False,False,False,4,False,120,,The curved antlers subtly change the flow of air to create a strange space where real­ ity is distorted.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/234.png
235,smeargle,2,normal,12,580,88,55,20,35,20,45,75,250,"own-tempo,technician",moody,white,upright,urban,fast,45,70,20,False,False,False,False,4,False,121,,A special fluid oozes from the tip of its tail. It paints the fluid everywhere to mark its territory.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/235.png
236,tyrogue,2,fighting,7,210,42,35,35,35,35,35,35,210,"guts,steadfast",vital-spirit,purple,humanoid,urban,medium,75,70,25,True,False,False,False,0,False,47,,"It is always bursting with en­ ergy. To make it­ self stronger, it keeps on fighting even if it loses.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/236.png
237,hitmontop,2,fighting,14,480,159,50,95,95,35,110,70,455,"intimidate,technician",steadfast,brown,upright,urban,medium,45,70,25,False,False,False,False,0,False,47,tyrogue,"If you become enchanted by its smooth, elegant, dance-like kicks, you may get drilled hard.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/237.png
238,smoochum,2,"ice,psychic",4,60,61,45,30,15,85,65,65,305,"oblivious,forewarn",hydration,pink,humanoid,urban,medium,45,70,25,True,False,False,False,8,False,59,,Its lips are the most sensitive parts on its body. It always uses its lips first to examine things.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/238.png
239,elekid,2,electric,6,235,72,45,63,37,65,55,95,360,static,vital-spirit,yellow,humanoid,grassland,medium,45,70,25,True,False,False,False,2,False,60,,"It rotates its arms to generate electricity, but it tires easily, so it charges up only a little bit.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/239.png
240,magby,2,fire,7,214,73,45,75,37,70,55,83,365,flame-body,vital-spirit,red,upright,mountain,medium,45,70,25,True,False,False,False,2,False,61,,"Each and every time it inhales and exhales, hot embers dribble out of its mouth and nostrils.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/240.png
241,miltank,2,normal,12,755,172,95,80,105,40,70,100,490,"thick-fat,scrappy",sap-sipper,pink,upright,grassland,slow,45,70,20,False,False,False,False,8,False,122,,"Its milk is packed with nutrition, making it the ultimate beverage for the sick or weary.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/241.png
242,blissey,2,normal,15,468,608,255,10,10,75,135,55,540,"natural-cure,serene-grace",healer,pink,humanoid,urban,fast,30,140,40,False,False,False,False,8,False,51,chansey,Anyone who takes even one bite of BLISSEY's egg be­ comes unfailingly caring and pleas­ ant to everyone.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/242.png
243,raikou,2,electric,19,1780,261,90,85,75,115,100,115,580,pressure,inner-focus,yellow,quadruped,grassland,slow,3,35,80,False,True,False,False,-1,False,123,,The rain clouds it carries let it fire thunderbolts at will. They say that it descended with lightning.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/243.png
244,entei,2,fire,21,1980,261,115,115,85,90,75,100,580,pressure,inner-focus,brown,quadruped,grassland,slow,3,35,80,False,True,False,False,-1,False,124,,"Volcanoes erupt when it barks. Un­ able to restrain its extreme power, it races headlong around the land.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/244.png
245,suicune,2,water,20,1870,261,100,75,115,90,115,85,580,pressure,inner-focus,blue,quadruped,grassland,slow,3,35,80,False,True,False,False,-1,False,125,,It races around the world to purify fouled water. It dashes away with the north wind.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/245.png
246,larvitar,2,"rock,ground",6,720,60,50,64,50,45,50,41,300,guts,sand-veil,green,upright,mountain,slow,45,35,40,False,False,False,False,4,False,126,,"It feeds on soil. After it has eaten a large mountain, it will fall asleep so it can grow.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/246.png
247,pupitar,2,"rock,ground",12,1520,144,70,84,70,65,70,51,410,shed-skin,,gray,squiggle,mountain,slow,45,35,40,False,False,False,False,4,False,126,larvitar,"Its shell is as hard as sheet rock, and it is also very strong. Its THRASHING can topple a mountain.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/247.png
248,tyranitar,2,"rock,dark",20,2020,270,100,134,110,95,100,61,600,sand-stream,unnerve,green,upright,mountain,slow,45,35,40,False,False,False,False,4,True,126,pupitar,"Its body can't be harmed by any sort of attack, so it is very eager to make challenges against enemies.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/248.png
