name,id,accuracy,pp,power,priority,type,generation,short_descripton,damage_class,min_hits,max_hits
Stockpile,254,,20,,0,Normal,Generation Iii,Stores energy up to three times for use with Spit Up and Swallow.,Status,1,1
Spit Up,255,100.0,10,,0,Normal,Generation Iii,Power is 100 times the amount of energy Stockpiled.,Special,1,1
Swallow,256,,10,,0,Normal,Generation Iii,"Recovers 1/4 HP after one Stockpile, 1/2 HP after two Stockpiles, or full HP after three Stockpiles.",Status,1,1
Heat Wave,257,90.0,10,95.0,0,Fire,Generation Iii,Has a $effect_chance% chance to burn the target.,Special,1,1
Hail,258,,10,,0,Ice,Generation Iii,Changes the weather to a hailstorm for five turns.,Status,1,1
Torment,259,100.0,15,,0,Dark,Generation Iii,Prevents the target from using the same move twice in a row.,Status,1,1
Flatter,260,100.0,15,,0,Dark,Generation Iii,Raises the target's Special Attack by one stage and confuses the target.,Status,1,1
Will O Wisp,261,85.0,15,,0,Fire,Generation Iii,Burns the target.,Status,1,1
Memento,262,100.0,10,,0,Dark,Generation Iii,Lowers the target's Attack and Special Attack by two stages.  User faints.,Status,1,1
Facade,263,100.0,20,70.0,0,Normal,Generation Iii,"Power doubles if user is burned, paralyzed, or poisoned.",Physical,1,1
Focus Punch,264,100.0,20,150.0,-3,Fighting,Generation Iii,"If the user takes damage before attacking, the attack is canceled.",Physical,1,1
Smelling Salts,265,100.0,10,70.0,0,Normal,Generation Iii,"If the target is paralyzed, inflicts double damage and cures the paralysis.",Physical,1,1
Follow Me,266,,20,,2,Normal,Generation Iii,Redirects the target's single-target effects to the user for this turn.,Status,1,1
Nature Power,267,,20,,0,Normal,Generation Iii,Uses a move which depends upon the terrain.,Status,1,1
Charge,268,,20,,0,Electric,Generation Iii,Raises the user's Special Defense by one stage.  User's Electric moves have doubled power next turn.,Status,1,1
Taunt,269,100.0,20,,0,Dark,Generation Iii,"For the next few turns, the target can only use damaging moves.",Status,1,1
Helping Hand,270,,20,,5,Normal,Generation Iii,Ally's next move inflicts half more damage.,Status,1,1
Trick,271,100.0,10,,0,Psychic,Generation Iii,User and target swap items.,Status,1,1
Role Play,272,,10,,0,Psychic,Generation Iii,Copies the target's ability.,Status,1,1
Wish,273,,10,,0,Normal,Generation Iii,User will recover half its max HP at the end of the next turn.,Status,1,1
Assist,274,,20,,0,Normal,Generation Iii,Randomly selects and uses one of the trainer's other Pokémon's moves.,Status,1,1
Ingrain,275,,20,,0,Grass,Generation Iii,Prevents the user from leaving battle.  User regains 1/16 of its max HP every turn.,Status,1,1
Superpower,276,100.0,5,120.0,0,Fighting,Generation Iii,Lowers the user's Attack and Defense by one stage after inflicting damage.,Physical,1,1
Magic Coat,277,,15,,4,Psychic,Generation Iii,Reflects back the first effect move used on the user this turn.,Status,1,1
Recycle,278,,10,,0,Normal,Generation Iii,User recovers the item it last used up.,Status,1,1
Revenge,279,100.0,10,60.0,-4,Fighting,Generation Iii,Inflicts double damage if the user takes damage before attacking this turn.,Physical,1,1
Brick Break,280,100.0,15,75.0,0,Fighting,Generation Iii,Destroys Reflect and Light Screen.,Physical,1,1
Yawn,281,,10,,0,Normal,Generation Iii,Target sleeps at the end of the next turn.,Status,1,1
Knock Off,282,100.0,20,65.0,0,Dark,Generation Iii,Target drops its held item.,Physical,1,1
Endeavor,283,100.0,5,,0,Normal,Generation Iii,Lowers the target's HP to equal the user's.,Physical,1,1
Eruption,284,100.0,5,150.0,0,Fire,Generation Iii,"Inflicts more damage when the user has more HP remaining, with a maximum of 150 power.",Special,1,1
Skill Swap,285,,10,,0,Psychic,Generation Iii,User and target swap abilities.,Status,1,1
Imprison,286,,10,,0,Psychic,Generation Iii,Prevents the target from using any moves that the user also knows.,Status,1,1
Refresh,287,,20,,0,Normal,Generation Iii,"Cleanses the user of a burn, paralysis, or poison.",Status,1,1
Grudge,288,,5,,0,Ghost,Generation Iii,"If the user faints this turn, the PP of the move that fainted it drops to 0.",Status,1,1
Snatch,289,,10,,4,Dark,Generation Iii,"Steals the target's move, if it's self-targeted.",Status,1,1
Secret Power,290,100.0,20,70.0,0,Normal,Generation Iii,Has a $effect_chance% chance to inflict a status effect which depends upon the terrain.,Physical,1,1
Dive,291,100.0,10,80.0,0,Water,Generation Iii,"User dives underwater, dodging all attacks, and hits next turn.",Physical,1,1
Arm Thrust,292,100.0,20,15.0,0,Fighting,Generation Iii,Hits 2-5 times in one turn.,Physical,2,5
Camouflage,293,,20,,0,Normal,Generation Iii,User's type changes to match the terrain.,Status,1,1
Tail Glow,294,,20,,0,Bug,Generation Iii,Raises the user's Special Attack by three stages.,Status,1,1
Luster Purge,295,100.0,5,70.0,0,Psychic,Generation Iii,Has a $effect_chance% chance to lower the target's Special Defense by one stage.,Special,1,1
Mist Ball,296,100.0,5,70.0,0,Psychic,Generation Iii,Has a $effect_chance% chance to lower the target's Special Attack by one stage.,Special,1,1
Feather Dance,297,100.0,15,,0,Flying,Generation Iii,Lowers the target's Attack by two stages.,Status,1,1
Teeter Dance,298,100.0,20,,0,Normal,Generation Iii,Confuses the target.,Status,1,1
Blaze Kick,299,90.0,10,85.0,0,Fire,Generation Iii,Has an increased chance for a critical hit and a $effect_chance% chance to burn the target.,Physical,1,1
Mud Sport,300,,15,,0,Ground,Generation Iii,Halves all Electric-type damage.,Status,1,1
Ice Ball,301,90.0,20,30.0,0,Ice,Generation Iii,"Power doubles every turn this move is used in succession after the first, resetting after five turns.",Physical,1,1
Needle Arm,302,100.0,15,60.0,0,Grass,Generation Iii,Has a $effect_chance% chance to make the target flinch.,Physical,1,1
Slack Off,303,,10,,0,Normal,Generation Iii,Heals the user by half its max HP.,Status,1,1
Hyper Voice,304,100.0,10,90.0,0,Normal,Generation Iii,Inflicts regular damage with no additional effect.,Special,1,1
Poison Fang,305,100.0,15,50.0,0,Poison,Generation Iii,Has a $effect_chance% chance to badly poison the target.,Physical,1,1
Crush Claw,306,95.0,10,75.0,0,Normal,Generation Iii,Has a $effect_chance% chance to lower the target's Defense by one stage.,Physical,1,1
Blast Burn,307,90.0,5,150.0,0,Fire,Generation Iii,User foregoes its next turn to recharge.,Special,1,1
Hydro Cannon,308,90.0,5,150.0,0,Water,Generation Iii,User foregoes its next turn to recharge.,Special,1,1
Meteor Mash,309,90.0,10,90.0,0,Steel,Generation Iii,Has a $effect_chance% chance to raise the user's Attack by one stage.,Physical,1,1
Astonish,310,100.0,15,30.0,0,Ghost,Generation Iii,Has a $effect_chance% chance to make the target flinch.,Physical,1,1
Weather Ball,311,100.0,10,50.0,0,Normal,Generation Iii,"If there be weather, this move has doubled power and the weather's type.",Special,1,1
Aromatherapy,312,,5,,0,Grass,Generation Iii,Cures the entire party of major status effects.,Status,1,1
Fake Tears,313,100.0,20,,0,Dark,Generation Iii,Lowers the target's Special Defense by two stages.,Status,1,1
Air Cutter,314,95.0,25,60.0,0,Flying,Generation Iii,Has an increased chance for a critical hit.,Special,1,1
Overheat,315,90.0,5,130.0,0,Fire,Generation Iii,Lowers the user's Special Attack by two stages after inflicting damage.,Special,1,1
Odor Sleuth,316,,40,,0,Normal,Generation Iii,"Forces the target to have no Evade, and allows it to be hit by Normal and Fighting moves even if it's a Ghost.",Status,1,1
Rock Tomb,317,95.0,15,60.0,0,Rock,Generation Iii,Has a $effect_chance% chance to lower the target's Speed by one stage.,Physical,1,1
Silver Wind,318,100.0,5,60.0,0,Bug,Generation Iii,Has a $effect_chance% chance to raise all of the user's stats by one stage.,Special,1,1
Metal Sound,319,85.0,40,,0,Steel,Generation Iii,Lowers the target's Special Defense by two stages.,Status,1,1
Grass Whistle,320,55.0,15,,0,Grass,Generation Iii,Puts the target to sleep.,Status,1,1
Tickle,321,100.0,20,,0,Normal,Generation Iii,Lowers the target's Attack and Defense by one stage.,Status,1,1
Cosmic Power,322,,20,,0,Psychic,Generation Iii,Raises the user's Defense and Special Defense by one stage.,Status,1,1
Water Spout,323,100.0,5,150.0,0,Water,Generation Iii,"Inflicts more damage when the user has more HP remaining, with a maximum of 150 power.",Special,1,1
Signal Beam,324,100.0,15,75.0,0,Bug,Generation Iii,Has a $effect_chance% chance to confuse the target.,Special,1,1
Shadow Punch,325,,20,60.0,0,Ghost,Generation Iii,Never misses.,Physical,1,1
Extrasensory,326,100.0,20,80.0,0,Psychic,Generation Iii,Has a $effect_chance% chance to make the target flinch.,Special,1,1
Sky Uppercut,327,90.0,15,85.0,0,Fighting,Generation Iii,Inflicts regular damage and can hit Bounce and Fly users.,Physical,1,1
Sand Tomb,328,85.0,15,35.0,0,Ground,Generation Iii,Prevents the target from fleeing and inflicts damage for 2-5 turns.,Physical,1,1
Sheer Cold,329,30.0,5,,0,Ice,Generation Iii,Causes a one-hit KO.,Special,1,1
Muddy Water,330,85.0,10,90.0,0,Water,Generation Iii,Has a $effect_chance% chance to lower the target's accuracy by one stage.,Special,1,1
Bullet Seed,331,100.0,30,25.0,0,Grass,Generation Iii,Hits 2-5 times in one turn.,Physical,2,5
Aerial Ace,332,,20,60.0,0,Flying,Generation Iii,Never misses.,Physical,1,1
Icicle Spear,333,100.0,30,25.0,0,Ice,Generation Iii,Hits 2-5 times in one turn.,Physical,2,5
Iron Defense,334,,15,,0,Steel,Generation Iii,Raises the user's Defense by two stages.,Status,1,1
Block,335,,5,,0,Normal,Generation Iii,Prevents the target from leaving battle.,Status,1,1
Howl,336,,40,,0,Normal,Generation Iii,Raises the user's Attack by one stage.,Status,1,1
Dragon Claw,337,100.0,15,80.0,0,Dragon,Generation Iii,Inflicts regular damage with no additional effect.,Physical,1,1
Frenzy Plant,338,90.0,5,150.0,0,Grass,Generation Iii,User foregoes its next turn to recharge.,Special,1,1
Bulk Up,339,,20,,0,Fighting,Generation Iii,Raises the user's Attack and Defense by one stage.,Status,1,1
Bounce,340,85.0,5,85.0,0,Flying,Generation Iii,"User bounces high into the air, dodging all attacks, and hits next turn.",Physical,1,1
Mud Shot,341,95.0,15,55.0,0,Ground,Generation Iii,Has a $effect_chance% chance to lower the target's Speed by one stage.,Special,1,1
Poison Tail,342,100.0,25,50.0,0,Poison,Generation Iii,Has an increased chance for a critical hit and a $effect_chance% chance to poison the target.,Physical,1,1
Covet,343,100.0,25,60.0,0,Normal,Generation Iii,Takes the target's item.,Physical,1,1
Volt Tackle,344,100.0,15,120.0,0,Electric,Generation Iii,User takes 1/3 the damage inflicted in recoil.  Has a $effect_chance% chance to paralyze the target.,Physical,1,1
Magical Leaf,345,,20,60.0,0,Grass,Generation Iii,Never misses.,Special,1,1
Water Sport,346,,15,,0,Water,Generation Iii,Halves all Fire-type damage.,Status,1,1
Calm Mind,347,,20,,0,Psychic,Generation Iii,Raises the user's Special Attack and Special Defense by one stage.,Status,1,1
Leaf Blade,348,100.0,15,90.0,0,Grass,Generation Iii,Has an increased chance for a critical hit.,Physical,1,1
Dragon Dance,349,,20,,0,Dragon,Generation Iii,Raises the user's Attack and Speed by one stage.,Status,1,1
Rock Blast,350,90.0,10,25.0,0,Rock,Generation Iii,Hits 2-5 times in one turn.,Physical,2,5
Shock Wave,351,,20,60.0,0,Electric,Generation Iii,Never misses.,Special,1,1
Water Pulse,352,100.0,20,60.0,0,Water,Generation Iii,Has a $effect_chance% chance to confuse the target.,Special,1,1
Doom Desire,353,100.0,5,140.0,0,Steel,Generation Iii,Hits the target two turns later.,Special,1,1
Psycho Boost,354,90.0,5,140.0,0,Psychic,Generation Iii,Lowers the user's Special Attack by two stages after inflicting damage.,Special,1,1
Roost,355,,10,,0,Flying,Generation Iv,Heals the user by half its max HP.,Status,1,1
Gravity,356,,5,,0,Psychic,Generation Iv,Disables moves and immunities that involve flying or levitating for five turns.,Status,1,1
Miracle Eye,357,,40,,0,Psychic,Generation Iv,"Forces the target to have no evasion, and allows it to be hit by Psychic moves even if it's Dark.",Status,1,1
Wake Up Slap,358,100.0,10,70.0,0,Fighting,Generation Iv,"If the target is asleep, has double power and wakes it up.",Physical,1,1
Hammer Arm,359,90.0,10,100.0,0,Fighting,Generation Iv,Lowers user's Speed by one stage.,Physical,1,1
Gyro Ball,360,100.0,5,,0,Steel,Generation Iv,"Power raises when the user has lower Speed, up to a maximum of 150.",Physical,1,1
Healing Wish,361,,10,,0,Psychic,Generation Iv,User faints.  Its replacement has its HP fully restored and any major status effect removed.,Status,1,1
Brine,362,100.0,10,65.0,0,Water,Generation Iv,Has double power against Pokémon that have less than half their max HP remaining.,Special,1,1
Natural Gift,363,100.0,15,,0,Normal,Generation Iv,Power and type depend on the held berry.,Physical,1,1
Feint,364,100.0,10,30.0,2,Normal,Generation Iv,Hits through Protect and Detect.,Physical,1,1
Pluck,365,100.0,20,60.0,0,Flying,Generation Iv,"If target has a berry, inflicts double damage and uses the berry.",Physical,1,1
Tailwind,366,,15,,0,Flying,Generation Iv,"For three turns, friendly Pokémon have doubled Speed.",Status,1,1
Acupressure,367,,30,,0,Normal,Generation Iv,Raises one of a friendly Pokémon's stats at random by two stages.,Status,1,1
Metal Burst,368,100.0,10,,0,Steel,Generation Iv,Strikes back at the last Pokémon to hit the user this turn with 1.5× the damage.,Physical,1,1
U Turn,369,100.0,20,70.0,0,Bug,Generation Iv,User must switch out after attacking.,Physical,1,1
Close Combat,370,100.0,5,120.0,0,Fighting,Generation Iv,Lowers the user's Defense and Special Defense by one stage after inflicting damage.,Physical,1,1
Payback,371,100.0,10,50.0,0,Dark,Generation Iv,Power is doubled if the target has already moved this turn.,Physical,1,1
Assurance,372,100.0,10,60.0,0,Dark,Generation Iv,Power is doubled if the target has already received damage this turn.,Physical,1,1
Embargo,373,100.0,15,,0,Dark,Generation Iv,Target cannot use held items.,Status,1,1
Fling,374,100.0,10,,0,Dark,Generation Iv,Throws held item at the target; power depends on the item.,Physical,1,1
Psycho Shift,375,100.0,10,,0,Psychic,Generation Iv,Transfers the user's major status effect to the target.,Status,1,1
Trump Card,376,,5,,0,Normal,Generation Iv,"Power increases when this move has less PP, up to a maximum of 200.",Special,1,1
Heal Block,377,100.0,15,,0,Psychic,Generation Iv,Prevents target from restoring its HP for five turns.,Status,1,1
Wring Out,378,100.0,5,,0,Normal,Generation Iv,"Power increases against targets with more HP remaining, up to a maximum of 121 power.",Special,1,1
Power Trick,379,,10,,0,Psychic,Generation Iv,User swaps Attack and Defense.,Status,1,1
Gastro Acid,380,100.0,10,,0,Poison,Generation Iv,Nullifies target's ability until it leaves battle.,Status,1,1
Lucky Chant,381,,30,,0,Normal,Generation Iv,Prevents the target from scoring critical hits for five turns.,Status,1,1
Me First,382,,20,,0,Normal,Generation Iv,"Uses the target's move against it before it attacks, with power increased by half.",Status,1,1
Copycat,383,,20,,0,Normal,Generation Iv,Uses the target's last used move.,Status,1,1
Power Swap,384,,10,,0,Psychic,Generation Iv,User swaps Attack and Special Attack changes with the target.,Status,1,1
Guard Swap,385,,10,,0,Psychic,Generation Iv,User swaps Defense and Special Defense changes with the target.,Status,1,1
Punishment,386,100.0,5,,0,Dark,Generation Iv,"Power increases against targets with more raised stats, up to a maximum of 200.",Physical,1,1
Last Resort,387,100.0,5,140.0,0,Normal,Generation Iv,Can only be used after all of the user's other moves have been used.,Physical,1,1
Worry Seed,388,100.0,10,,0,Grass,Generation Iv,Changes the target's ability to Insomnia.,Status,1,1
Sucker Punch,389,100.0,5,70.0,1,Dark,Generation Iv,Only works if the target is about to use a damaging move.,Physical,1,1
Toxic Spikes,390,,20,,0,Poison,Generation Iv,"Scatters poisoned spikes, poisoning opposing Pokémon that switch in.",Status,1,1
Heart Swap,391,,10,,0,Psychic,Generation Iv,User and target swap stat changes.,Status,1,1
Aqua Ring,392,,20,,0,Water,Generation Iv,Restores 1/16 of the user's max HP each turn.,Status,1,1
Magnet Rise,393,,10,,0,Electric,Generation Iv,User is immune to Ground moves and effects for five turns.,Status,1,1
Flare Blitz,394,100.0,15,120.0,0,Fire,Generation Iv,User takes 1/3 the damage inflicted in recoil.  Has a $effect_chance% chance to burn the target.,Physical,1,1
Force Palm,395,100.0,10,60.0,0,Fighting,Generation Iv,Has a $effect_chance% chance to paralyze the target.,Physical,1,1
Aura Sphere,396,,20,80.0,0,Fighting,Generation Iv,Never misses.,Special,1,1
Rock Polish,397,,20,,0,Rock,Generation Iv,Raises the user's Speed by two stages.,Status,1,1
Poison Jab,398,100.0,20,80.0,0,Poison,Generation Iv,Has a $effect_chance% chance to poison the target.,Physical,1,1
Dark Pulse,399,100.0,15,80.0,0,Dark,Generation Iv,Has a $effect_chance% chance to make the target flinch.,Special,1,1
Night Slash,400,100.0,15,70.0,0,Dark,Generation Iv,Has an increased chance for a critical hit.,Physical,1,1
Aqua Tail,401,90.0,10,90.0,0,Water,Generation Iv,Inflicts regular damage with no additional effect.,Physical,1,1
Seed Bomb,402,100.0,15,80.0,0,Grass,Generation Iv,Inflicts regular damage with no additional effect.,Physical,1,1
Air Slash,403,95.0,15,75.0,0,Flying,Generation Iv,Has a $effect_chance% chance to make the target flinch.,Special,1,1
X Scissor,404,100.0,15,80.0,0,Bug,Generation Iv,Inflicts regular damage with no additional effect.,Physical,1,1
Bug Buzz,405,100.0,10,90.0,0,Bug,Generation Iv,Has a $effect_chance% chance to lower the target's Special Defense by one stage.,Special,1,1
Dragon Pulse,406,100.0,10,85.0,0,Dragon,Generation Iv,Inflicts regular damage with no additional effect.,Special,1,1
Dragon Rush,407,75.0,10,100.0,0,Dragon,Generation Iv,Has a $effect_chance% chance to make the target flinch.,Physical,1,1
Power Gem,408,100.0,20,80.0,0,Rock,Generation Iv,Inflicts regular damage with no additional effect.,Special,1,1
Drain Punch,409,100.0,10,75.0,0,Fighting,Generation Iv,Drains half the damage inflicted to heal the user.,Physical,1,1
Vacuum Wave,410,100.0,30,40.0,1,Fighting,Generation Iv,Inflicts regular damage with no additional effect.,Special,1,1
Focus Blast,411,70.0,5,120.0,0,Fighting,Generation Iv,Has a $effect_chance% chance to lower the target's Special Defense by one stage.,Special,1,1
Energy Ball,412,100.0,10,90.0,0,Grass,Generation Iv,Has a $effect_chance% chance to lower the target's Special Defense by one stage.,Special,1,1
Brave Bird,413,100.0,15,120.0,0,Flying,Generation Iv,User receives 1/3 the damage inflicted in recoil.,Physical,1,1
Earth Power,414,100.0,10,90.0,0,Ground,Generation Iv,Has a $effect_chance% chance to lower the target's Special Defense by one stage.,Special,1,1
Switcheroo,415,100.0,10,,0,Dark,Generation Iv,User and target swap items.,Status,1,1
Giga Impact,416,90.0,5,150.0,0,Normal,Generation Iv,User foregoes its next turn to recharge.,Physical,1,1
Nasty Plot,417,,20,,0,Dark,Generation Iv,Raises the user's Special Attack by two stages.,Status,1,1
Bullet Punch,418,100.0,30,40.0,1,Steel,Generation Iv,Inflicts regular damage with no additional effect.,Physical,1,1
Avalanche,419,100.0,10,60.0,-4,Ice,Generation Iv,Inflicts double damage if the user takes damage before attacking this turn.,Physical,1,1
Ice Shard,420,100.0,30,40.0,1,Ice,Generation Iv,Inflicts regular damage with no additional effect.,Physical,1,1
Shadow Claw,421,100.0,15,70.0,0,Ghost,Generation Iv,Has an increased chance for a critical hit.,Physical,1,1
Thunder Fang,422,95.0,15,65.0,0,Electric,Generation Iv,Has a $effect_chance% chance to paralyze the target and a $effect_chance% chance to make the target flinch.,Physical,1,1
Ice Fang,423,95.0,15,65.0,0,Ice,Generation Iv,Has a $effect_chance% chance to freeze the target and a $effect_chance% chance to make the target flinch.,Physical,1,1
Fire Fang,424,95.0,15,65.0,0,Fire,Generation Iv,Has a $effect_chance% chance to burn the target and a $effect_chance% chance to make the target flinch.,Physical,1,1
Shadow Sneak,425,100.0,30,40.0,1,Ghost,Generation Iv,Inflicts regular damage with no additional effect.,Physical,1,1
Mud Bomb,426,85.0,10,65.0,0,Ground,Generation Iv,Has a $effect_chance% chance to lower the target's accuracy by one stage.,Special,1,1
Psycho Cut,427,100.0,20,70.0,0,Psychic,Generation Iv,Has an increased chance for a critical hit.,Physical,1,1
Zen Headbutt,428,90.0,15,80.0,0,Psychic,Generation Iv,Has a $effect_chance% chance to make the target flinch.,Physical,1,1
Mirror Shot,429,85.0,10,65.0,0,Steel,Generation Iv,Has a $effect_chance% chance to lower the target's accuracy by one stage.,Special,1,1
Flash Cannon,430,100.0,10,80.0,0,Steel,Generation Iv,Has a $effect_chance% chance to lower the target's Special Defense by one stage.,Special,1,1
Rock Climb,431,85.0,20,90.0,0,Normal,Generation Iv,Has a $effect_chance% chance to confuse the target.,Physical,1,1
Defog,432,,15,,0,Flying,Generation Iv,Lowers the target's evasion by one stage.  Removes field effects from the enemy field.,Status,1,1
Trick Room,433,,5,,-7,Psychic,Generation Iv,"For five turns, slower Pokémon will act before faster Pokémon.",Status,1,1
Draco Meteor,434,90.0,5,130.0,0,Dragon,Generation Iv,Lowers the user's Special Attack by two stages after inflicting damage.,Special,1,1
Discharge,435,100.0,15,80.0,0,Electric,Generation Iv,Has a $effect_chance% chance to paralyze the target.,Special,1,1
Lava Plume,436,100.0,15,80.0,0,Fire,Generation Iv,Has a $effect_chance% chance to burn the target.,Special,1,1
Leaf Storm,437,90.0,5,130.0,0,Grass,Generation Iv,Lowers the user's Special Attack by two stages after inflicting damage.,Special,1,1
Power Whip,438,85.0,10,120.0,0,Grass,Generation Iv,Inflicts regular damage with no additional effect.,Physical,1,1
Rock Wrecker,439,90.0,5,150.0,0,Rock,Generation Iv,User foregoes its next turn to recharge.,Physical,1,1
Cross Poison,440,100.0,20,70.0,0,Poison,Generation Iv,Has an increased chance for a critical hit and a $effect_chance% chance to poison the target.,Physical,1,1
Gunk Shot,441,80.0,5,120.0,0,Poison,Generation Iv,Has a $effect_chance% chance to poison the target.,Physical,1,1
Iron Head,442,100.0,15,80.0,0,Steel,Generation Iv,Has a $effect_chance% chance to make the target flinch.,Physical,1,1
Magnet Bomb,443,,20,60.0,0,Steel,Generation Iv,Never misses.,Physical,1,1
Stone Edge,444,80.0,5,100.0,0,Rock,Generation Iv,Has an increased chance for a critical hit.,Physical,1,1
Captivate,445,100.0,20,,0,Normal,Generation Iv,Lowers the target's Special Attack by two stages if it's the opposite gender.,Status,1,1
Stealth Rock,446,,20,,0,Rock,Generation Iv,Causes damage when opposing Pokémon switch in.,Status,1,1
Grass Knot,447,100.0,20,,0,Grass,Generation Iv,"Inflicts more damage to heavier targets, with a maximum of 120 power.",Special,1,1
Chatter,448,100.0,20,65.0,0,Flying,Generation Iv,Has a higher chance to confuse the target when the recorded sound is louder.,Special,1,1
Judgment,449,100.0,10,100.0,0,Normal,Generation Iv,"If the user is holding a appropriate plate or drive, the damage inflicted will match it.",Special,1,1
Bug Bite,450,100.0,20,60.0,0,Bug,Generation Iv,"If target has a berry, inflicts double damage and uses the berry.",Physical,1,1
Charge Beam,451,90.0,10,50.0,0,Electric,Generation Iv,Has a $effect_chance% chance to raise the user's Special Attack by one stage.,Special,1,1
Wood Hammer,452,100.0,15,120.0,0,Grass,Generation Iv,User receives 1/3 the damage inflicted in recoil.,Physical,1,1
Aqua Jet,453,100.0,20,40.0,1,Water,Generation Iv,Inflicts regular damage with no additional effect.,Physical,1,1
Attack Order,454,100.0,15,90.0,0,Bug,Generation Iv,Has an increased chance for a critical hit.,Physical,1,1
Defend Order,455,,10,,0,Bug,Generation Iv,Raises the user's Defense and Special Defense by one stage.,Status,1,1
Heal Order,456,,10,,0,Bug,Generation Iv,Heals the user by half its max HP.,Status,1,1
Head Smash,457,80.0,5,150.0,0,Rock,Generation Iv,User receives 1/2 the damage inflicted in recoil.,Physical,1,1
Double Hit,458,90.0,10,35.0,0,Normal,Generation Iv,Hits twice in one turn.,Physical,2,2
Roar Of Time,459,90.0,5,150.0,0,Dragon,Generation Iv,User foregoes its next turn to recharge.,Special,1,1
Spacial Rend,460,95.0,5,100.0,0,Dragon,Generation Iv,Has an increased chance for a critical hit.,Special,1,1
Lunar Dance,461,,10,,0,Psychic,Generation Iv,"User faints, and its replacement is fully healed.",Status,1,1
Crush Grip,462,100.0,5,,0,Normal,Generation Iv,"Power increases against targets with more HP remaining, up to a maximum of 121 power.",Physical,1,1
Magma Storm,463,75.0,5,100.0,0,Fire,Generation Iv,Prevents the target from fleeing and inflicts damage for 2-5 turns.,Special,1,1
Dark Void,464,50.0,10,,0,Dark,Generation Iv,Puts the target to sleep.,Status,1,1
Seed Flare,465,85.0,5,120.0,0,Grass,Generation Iv,Has a $effect_chance% chance to lower the target's Special Defense by two stages.,Special,1,1
Ominous Wind,466,100.0,5,60.0,0,Ghost,Generation Iv,Has a $effect_chance% chance to raise all of the user's stats by one stage.,Special,1,1
Shadow Force,467,100.0,5,120.0,0,Ghost,Generation Iv,"User vanishes, dodging all attacks, and hits next turn.  Hits through Protect and Detect.",Physical,1,1
Hone Claws,468,,15,,0,Dark,Generation V,Raises the user's Attack and accuracy by one stage.,Status,1,1
Wide Guard,469,,10,,3,Rock,Generation V,Prevents any multi-target moves from hitting friendly Pokémon this turn.,Status,1,1
Guard Split,470,,10,,0,Psychic,Generation V,Averages Defense and Special Defense with the target.,Status,1,1
Power Split,471,,10,,0,Psychic,Generation V,Averages Attack and Special Attack with the target.,Status,1,1
Wonder Room,472,,10,,0,Psychic,Generation V,All Pokémon's Defense and Special Defense are swapped for 5 turns.,Status,1,1
Psyshock,473,100.0,10,80.0,0,Psychic,Generation V,"Inflicts damage based on the target's Defense, not Special Defense.",Special,1,1
Venoshock,474,100.0,10,65.0,0,Poison,Generation V,Inflicts double damage if the target is Poisoned.,Special,1,1
Autotomize,475,,15,,0,Steel,Generation V,Raises the user's Speed by two stages and halves the user's weight.,Status,1,1
Rage Powder,476,,20,,2,Bug,Generation V,Redirects the target's single-target effects to the user for this turn.,Status,1,1
Telekinesis,477,,15,,0,Psychic,Generation V,Moves have 100% accuracy against the target for three turns.,Status,1,1
Magic Room,478,,10,,0,Psychic,Generation V,Negates held items for five turns.,Status,1,1
Smack Down,479,100.0,15,50.0,0,Rock,Generation V,Removes any immunity to Ground damage.,Physical,1,1
Storm Throw,480,100.0,10,60.0,0,Fighting,Generation V,Always scores a critical hit.,Physical,1,1
Flame Burst,481,100.0,15,70.0,0,Fire,Generation V,Deals splash damage to Pokémon next to the target.,Special,1,1
Sludge Wave,482,100.0,10,95.0,0,Poison,Generation V,Has a $effect_chance% chance to poison the target.,Special,1,1
Quiver Dance,483,,20,,0,Bug,Generation V,"Raises the user's Special Attack, Special Defense, and Speed by one stage each.",Status,1,1
Heavy Slam,484,100.0,10,,0,Steel,Generation V,"Power is higher when the user weighs more than the target, up to a maximum of 120.",Physical,1,1
Synchronoise,485,100.0,10,120.0,0,Psychic,Generation V,Hits any Pokémon that shares a type with the user.,Special,1,1
Electro Ball,486,100.0,10,,0,Electric,Generation V,"Power is higher when the user has greater Speed than the target, up to a maximum of 150.",Special,1,1
Soak,487,100.0,20,,0,Water,Generation V,Changes the target's type to Water.,Status,1,1
Flame Charge,488,100.0,20,50.0,0,Fire,Generation V,Inflicts regular damage.  Raises the user's Speed by one stage.,Physical,1,1
Coil,489,,20,,0,Poison,Generation V,"Raises the user's Attack, Defense, and accuracy by one stage each.",Status,1,1
Low Sweep,490,100.0,20,65.0,0,Fighting,Generation V,Lowers the target's Speed by one stage.,Physical,1,1
Acid Spray,491,100.0,20,40.0,0,Poison,Generation V,Lowers the target's Special Defense by two stages.,Special,1,1
Foul Play,492,100.0,15,95.0,0,Dark,Generation V,Calculates damage with the target's attacking stat.,Physical,1,1
Simple Beam,493,100.0,15,,0,Normal,Generation V,Changes the target's ability to Simple.,Status,1,1
Entrainment,494,100.0,15,,0,Normal,Generation V,Copies the user's ability onto the target.,Status,1,1
After You,495,,15,,0,Normal,Generation V,Makes the target act next this turn.,Status,1,1
Round,496,100.0,15,60.0,0,Normal,Generation V,Has double power if it's used more than once per turn.,Special,1,1
